shopify_filename,shopify_url,original_filename,used_on_pages,primary_page,suggested_alt,source_url
home-1-03.png,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/home-1-03.png,01.png,home-1; home,home-1,Home 1,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/4012b03a-1531-418b-9c22-e84ae5c6ee1c/01.png
caminota-finisaj-rustic-02.jpg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/caminota-finisaj-rustic-02.jpg,Layer+7.jpg,caminota-finisaj-rustic; case-moderne-1,caminota-finisaj-rustic,Caminota finisaj rustic,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/4359c79c-37b1-473d-8e1d-5727d791d96c/Layer+7.jpg
blog-planificarea-lucrarilor-renovare-casa-veche-la-tara-chirpici-paianta-05.jpg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/blog-planificarea-lucrarilor-renovare-casa-veche-la-tara-chirpici-paianta-05.jpg,0.jpg,blog/planificarea-lucrarilor-renovare-casa-veche-la-tara-chirpici-paianta,blog/planificarea-lucrarilor-renovare-casa-veche-la-tara-chirpici-paianta,Blog planificarea lucrarilor renovare casa veche la tara chirpici paianta,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/45cca650-35c4-4956-8b44-5213299d484d/0.jpg
vopsea-var-kerakoll.jpg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/vopsea-var-kerakoll.jpg,vopsea_var_Kerakoll.jpg,case-moderne-1; case-traditionale; vopsea-de-var,case-moderne-1,Vopsea var kerakoll,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/4695f964-a39e-4f1a-a2bb-c19191f77e4a/vopsea_var_Kerakoll.jpg
tencuiala-cc-86-pe-baza-cc-86-de-ipsos.jpg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/tencuiala-cc-86-pe-baza-cc-86-de-ipsos.jpg,tencuiala%CC%86-pe-baza%CC%86-de-ipsos.jpg,blog/tipuri-de-finisaje,blog/tipuri-de-finisaje,Tencuiala cc 86 pe baza cc 86 de ipsos,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/47f45f7a-2e86-4e8a-8aed-ab958dbb8b64/tencuiala%CC%86-pe-baza%CC%86-de-ipsos.jpg
traditional-vopsea-09.jpg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/traditional-vopsea-09.jpg,traditional_vopsea_09.jpg,case-traditionale,case-traditionale,Traditional vopsea 09,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/4a12a926-930e-4798-a3df-cc14a71d7ed3/traditional_vopsea_09.jpg
home-1-04.png,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/home-1-04.png,03.png,home-1; home,home-1,Home 1,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/4b1127b6-ba90-478b-a73d-d56b8b1bfa3b/03.png
img-2822.jpg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/img-2822.jpg,IMG_2822.JPG,rogojina-de-stuf,rogojina-de-stuf,Img 2822,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/4f77643a-4be9-456e-961f-da21fb186702/IMG_2822.JPG
caminota-izobarne-04.jpg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/caminota-izobarne-04.jpg,P01.jpg,caminota-izobarne,caminota-izobarne,Caminota izobarne,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/5587ccb6-e719-49eb-84fb-1d745e6a2f0b/P01.jpg
traditionale-tencuiala-03.jpg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/traditionale-tencuiala-03.jpg,traditionale_tencuiala_03.jpg,case-traditionale,case-traditionale,Traditionale tencuiala 03,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/58bc6edb-e734-4071-8ee7-9daab33b8b43/traditionale_tencuiala_03.jpg
f-fata.png,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/f-fata.png,F+fata.png,caminota-finisaj-rustic; case-moderne-1; case-traditionale,caminota-finisaj-rustic,F fata,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/59e09fa6-8f74-46ca-af16-0ed626c09537/F+fata.png
case-moderdne-carusel-07.jpg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/case-moderdne-carusel-07.jpg,case_moderdne_carusel_07.jpg,caminota-tencuiala-cu-paie; case-moderne-1,caminota-tencuiala-cu-paie,Case moderdne carusel 07,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/5bf43afd-b278-48fd-8ac9-9ac1ea1357fc/case_moderdne_carusel_07.jpg
case-moderne-2.jpeg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/case-moderne-2.jpeg,image-asset.jpeg,case-moderne-2; case-moderne,case-moderne-2,Case moderne 2,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/5f64e22c-2104-4813-9ac7-fcf6fb6949ee/image-asset.jpeg
vlad-si-andrei-1.png,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/vlad-si-andrei-1.png,Vlad-si-Andrei+1.png,despre-noi,despre-noi,Vlad si andrei 1,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/5f895e4e-ec48-4e54-90d4-74bd805acf04/Vlad-si-Andrei+1.png
mostra-caminota-emag.jpg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/mostra-caminota-emag.jpg,mostra_caminota_emag.jpg,caminota-finisaj-rustic; caminota-izobarne; caminota-tencuiala-cu-paie; caramida-cu-goluri-si-bca; case-moderne-1; case-moderne-2; case-moderne; case-traditionale; rogojina-de-stuf; var-calcic-hidratat; vopsea-de-var,caminota-finisaj-rustic,Mostra caminota emag,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/629a604d-8d4e-4b4a-903c-9340d29af891/mostra_caminota_emag.jpg
stratificatii-recomandate-pentru-casa-de-caramida-cu-goluri.png,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/stratificatii-recomandate-pentru-casa-de-caramida-cu-goluri.png,Stratificatii-recomandate-pentru-casa-de-caramida-cu-goluri.png,blog/beneficiile-sistemului-caminota; caramida-cu-goluri-si-bca,blog/beneficiile-sistemului-caminota,Stratificatii recomandate pentru casa de caramida cu goluri,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/650d6d2c-df57-4eb1-9567-eaba8633e332/Stratificatii-recomandate-pentru-casa-de-caramida-cu-goluri.png
traditionale-tencuiala-13.jpg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/traditionale-tencuiala-13.jpg,traditionale_tencuiala_13.jpg,case-traditionale,case-traditionale,Traditionale tencuiala 13,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/674ddf04-1cdf-4bac-a8dd-230df0f6fe04/traditionale_tencuiala_13.jpg
whatsapp-image-2025-05-28-at-15-32-11.jpeg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/whatsapp-image-2025-05-28-at-15-32-11.jpeg,WhatsApp+Image+2025-05-28+at+15.32.11.jpeg,var-calcic-hidratat,var-calcic-hidratat,Whatsapp image 2025 05 28 at 15 32 11,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/68a34fbd-e398-431e-8ccc-a3ab7e450d65/WhatsApp+Image+2025-05-28+at+15.32.11.jpeg
var-calcic-hidratat.jpg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/var-calcic-hidratat.jpg,1000014814.jpg,var-calcic-hidratat,var-calcic-hidratat,Var calcic hidratat,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/6c9c9952-4c80-4fe0-a8b5-56b3c5ae69b0/1000014814.jpg
img-2821.jpg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/img-2821.jpg,IMG_2821.JPG,rogojina-de-stuf,rogojina-de-stuf,Img 2821,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/6d63b9e3-eee7-4f75-9eb0-76d1e1d2d683/IMG_2821.JPG
stratificatii-recomandate-pentru-casa-din-barne-de-lemn.png,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/stratificatii-recomandate-pentru-casa-din-barne-de-lemn.png,Stratificatii-recomandate-pentru-casa-din-barne-de-lemn.png,blog/beneficiile-sistemului-caminota,blog/beneficiile-sistemului-caminota,Stratificatii recomandate pentru casa din barne de lemn,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/6f5ac1e6-461e-45b3-b48b-3e186e5efb2f/Stratificatii-recomandate-pentru-casa-din-barne-de-lemn.png
traditionale-tencuiala-09.jpg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/traditionale-tencuiala-09.jpg,traditionale_tencuiala_09.jpg,case-traditionale,case-traditionale,Traditionale tencuiala 09,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/6fe284e8-88cb-4944-a4cb-c71e69c90cea/traditionale_tencuiala_09.jpg
tencuiala-pe-baza-de-rasini-sintetice.jpg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/tencuiala-pe-baza-de-rasini-sintetice.jpg,tencuiala-pe-baza-de-rasini-sintetice.jpg,blog/tipuri-de-finisaje,blog/tipuri-de-finisaje,Tencuiala pe baza de rasini sintetice,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/7068d565-e147-4341-90b6-e6c9c9d5ab96/tencuiala-pe-baza-de-rasini-sintetice.jpg
whatsapp-image-2025-05-19-at-14-48-59.jpeg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/whatsapp-image-2025-05-19-at-14-48-59.jpeg,WhatsApp+Image+2025-05-19+at+14.48.59.jpeg,var-calcic-hidratat,var-calcic-hidratat,Whatsapp image 2025 05 19 at 14 48 59,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/714de936-907d-4f0c-a56f-a0393ceffad9/WhatsApp+Image+2025-05-19+at+14.48.59.jpeg
caminota-finisaj-rustic-03.jpg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/caminota-finisaj-rustic-03.jpg,Layer+10.jpg,caminota-finisaj-rustic; case-moderne-1,caminota-finisaj-rustic,Caminota finisaj rustic,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/7177c268-66a4-45ad-92eb-a01dc29de6d0/Layer+10.jpg
tencuiala-aspect-beton-aparent-tipuri-de-tencuiala.jpg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/tencuiala-aspect-beton-aparent-tipuri-de-tencuiala.jpg,tencuiala-aspect-beton-aparent-tipuri-de-tencuiala.jpg,blog/tipuri-de-finisaje,blog/tipuri-de-finisaje,Tencuiala aspect beton aparent tipuri de tencuiala,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/72f61f0f-5baa-409b-b802-5a6fb4f08532/tencuiala-aspect-beton-aparent-tipuri-de-tencuiala.jpg
whatsapp-image-2025-05-13-at-14-55-46.jpeg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/whatsapp-image-2025-05-13-at-14-55-46.jpeg,WhatsApp+Image+2025-05-13+at+14.55.46.jpeg,var-calcic-hidratat,var-calcic-hidratat,Whatsapp image 2025 05 13 at 14 55 46,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/731a6216-5fe2-43d6-bd84-5c6ae2734a1b/WhatsApp+Image+2025-05-13+at+14.55.46.jpeg
422051626-809097391233341-2303580001819123999-n.jpg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/422051626-809097391233341-2303580001819123999-n.jpg,422051626_809097391233341_2303580001819123999_n.jpg,despre-noi,despre-noi,422051626 809097391233341 2303580001819123999 n,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/73ecaec3-b788-4526-958c-28a33bd3095a/422051626_809097391233341_2303580001819123999_n.jpg
